route	method	auth_level	source	compatibility
/api/advise	POST	api-token	src/web/api/benchmark.rs:701	route-stable-through-2.x
/api/app-home-migration/cleanup	POST	db-admin-token	src/web/api/app_home_migration.rs:231	route-stable-through-2.x
/api/app-home-migration/preview	GET	api-token	src/web/api/app_home_migration.rs:57	route-stable-through-2.x
/api/app-home-migration/queue	POST	db-admin-token	src/web/api/app_home_migration.rs:96	route-stable-through-2.x
/api/app-home-migration/rollback/preview	POST	api-token	src/web/api/app_home_migration.rs:159	route-stable-through-2.x
/api/app-home-migration/rollback/queue	POST	db-admin-token	src/web/api/app_home_migration.rs:187	route-stable-through-2.x
/api/app-home-migration/status	GET	api-token	src/web/api/app_home_migration.rs:28	route-stable-through-2.x
/api/attach	POST	api-token	src/web/api/sessions.rs:1253	route-stable-through-2.x
/api/auth/config	GET	public-form-auth	src/web/api/config.rs:20	route-stable-through-2.x
/api/auth/config	PUT	public-form-auth	src/web/api/config.rs:63	route-stable-through-2.x
/api/auth/login	POST	public-form-auth	src/web/api/auth.rs:61	route-stable-through-2.x
/api/auth/logout	POST	public-form-auth	src/web/api/auth.rs:122	route-stable-through-2.x
/api/auth/status	GET	public-form-auth	src/web/api/auth.rs:19	route-stable-through-2.x
/api/bench/batch-sweep	POST	api-token	src/web/api/benchmark.rs:959	route-stable-through-2.x
/api/bench/mtp-sweep	POST	api-token	src/web/api/benchmark.rs:1164	route-stable-through-2.x
/api/bench/sweep	POST	api-token	src/web/api/benchmark.rs:868	route-stable-through-2.x
/api/benchmark	POST	api-token	src/web/api/benchmark.rs:189	route-stable-through-2.x
/api/browse	GET	api-token	src/web/api/browse.rs:22	route-stable-through-2.x
/api/capabilities	GET	api-token	src/web/api/sessions.rs:807	route-stable-through-2.x
/api/chat-template/activate	POST	api-token	src/web/api/spawn_wizard.rs:1192	route-stable-through-2.x
/api/chat-template/active	GET	api-token	src/web/api/spawn_wizard.rs:1059	route-stable-through-2.x
/api/chat-template/check-update	POST	api-token	src/web/api/spawn_wizard.rs:1270	route-stable-through-2.x
/api/chat-template/dir	GET	api-token	src/web/api/spawn_wizard.rs:624	route-stable-through-2.x
/api/chat-template/discussion-content	GET	api-token	src/web/api/spawn_wizard.rs:2856	route-stable-through-2.x
/api/chat-template/discussion-markdown	GET	api-token	src/web/api/spawn_wizard.rs:2822	route-stable-through-2.x
/api/chat-template/discussions	GET	api-token	src/web/api/spawn_wizard.rs:2720	route-stable-through-2.x
/api/chat-template/fetch	POST	api-token	src/web/api/spawn_wizard.rs:450	route-stable-through-2.x
/api/chat-template/install-discussion	POST	api-token	src/web/api/spawn_wizard.rs:2896	route-stable-through-2.x
/api/chat-template/install-hf	POST	api-token	src/web/api/spawn_wizard.rs:661	route-stable-through-2.x
/api/chat-template/install-url	POST	api-token	src/web/api/spawn_wizard.rs:888	route-stable-through-2.x
/api/chat-template/read	GET	api-token	src/web/api/spawn_wizard.rs:2630	route-stable-through-2.x
/api/chat-template/releases	GET	api-token	src/web/api/spawn_wizard.rs:1120	route-stable-through-2.x
/api/chat-template/smoke-test	POST	api-token	src/web/api/spawn_wizard.rs:1826	route-stable-through-2.x
/api/chat-template/transform	POST	api-token	src/web/api/spawn_wizard.rs:2049	route-stable-through-2.x
/api/chat-template/upload	POST	api-token	src/web/api/spawn_wizard.rs:569	route-stable-through-2.x
/api/chat-template/upstream-history	GET	api-token	src/web/api/spawn_wizard.rs:2170	route-stable-through-2.x
/api/chat/abort	POST	api-token	src/web/api/chat/stream.rs:209	route-stable-through-2.x
/api/chat/guided	POST	api-token	src/web/api/chat/guided.rs:163	route-stable-through-2.x
/api/chat/search	GET	api-token	src/web/api/chat/tabs.rs:629	route-stable-through-2.x
/api/chat/suggestions	POST	api-token	src/web/api/chat/suggestions.rs:287	route-stable-through-2.x
/api/chat/tabs/:param/messages	POST	api-token	src/web/api/chat/tabs.rs:517	route-stable-through-2.x
/api/chat/tabs/:param/meta	PATCH	api-token	src/web/api/chat/tabs.rs:478	route-stable-through-2.x
/api/chat/tabs/:param	DELETE	api-token	src/web/api/chat/tabs.rs:449	route-stable-through-2.x
/api/chat/tabs/:param	GET	api-token	src/web/api/chat/tabs.rs:352	route-stable-through-2.x
