file	line	token	classification	policy	owner_phase	matched_text
.eslintrc.cjs	1	llama-monitor	public-brand	rename-current-product-surface	7	// ESLint config for llama-monitor frontend
.github/ISSUE_TEMPLATE/bug_report.yml	24	llama-monitor	infrastructure-only	update-release-infrastructure	10,11	description: llama-monitor version (or commit hash)
.github/ISSUE_TEMPLATE/feature_request.yml	16	llama-monitor	infrastructure-only	update-release-infrastructure	10,11	placeholder: "It would be great if llama-monitor could..."
.github/codeql/codeql-config.yml	12	llama-monitor	infrastructure-only	update-release-infrastructure	10,11	# ~/.config/llama-monitor/, not from runtime user input.
.github/release-please/config.json5	89	llama-monitor	infrastructure-only	update-release-infrastructure	10,11	"package-name": "llama-monitor",
.github/workflows/ci.yml	26	llama-monitor	infrastructure-only	update-release-infrastructure	10,11	runs-on: arc-llama-monitor
.github/workflows/ci.yml	68	llama-monitor	infrastructure-only	update-release-infrastructure	10,11	runs-on: ${{ startsWith(github.event.pull_request.head.ref, 'release-please--') && 'arc-general' || 'arc-llama-monitor-fast' }}
.github/workflows/ci.yml	90	llama-monitor	infrastructure-only	update-release-infrastructure	10,11	shared-key: "llama-monitor-${{ hashFiles('Cargo.lock') }}"
.github/workflows/ci.yml	125	llama-monitor	infrastructure-only	update-release-infrastructure	10,11	runs-on: arc-llama-monitor
.github/workflows/ci.yml	154	llama-monitor	infrastructure-only	update-release-infrastructure	10,11	runs-on: arc-llama-monitor
.github/workflows/ci.yml	165	llama-monitor	infrastructure-only	update-release-infrastructure	10,11	shared-key: "llama-monitor-${{ hashFiles('Cargo.lock') }}"
.github/workflows/ci.yml	172	llama-monitor	infrastructure-only	update-release-infrastructure	10,11	run: chmod +x target/release/llama-monitor
.github/workflows/ci.yml	201	llama-monitor	infrastructure-only	update-release-infrastructure	10,11	./target/release/llama-monitor --headless --port 7778 > "$RUNNER_TEMP/llama-monitor-ui.log" 2>&1 &
.github/workflows/ci.yml	201	llama-monitor	infrastructure-only	update-release-infrastructure	10,11	./target/release/llama-monitor --headless --port 7778 > "$RUNNER_TEMP/llama-monitor-ui.log" 2>&1 &
.github/workflows/ci.yml	202	llama-monitor	infrastructure-only	update-release-infrastructure	10,11	echo $! > "$RUNNER_TEMP/llama-monitor-ui.pid"
.github/workflows/ci.yml	207	llama-monitor	infrastructure-only	update-release-infrastructure	10,11	cat "$RUNNER_TEMP/llama-monitor-ui.log"
.github/workflows/ci.yml	212	llama_monitor	infrastructure-only	update-release-infrastructure	10,11	# - SSH integration test (skips without LLAMA_MONITOR_SSH_TARGET)
.github/workflows/ci.yml	213	llama_monitor	infrastructure-only	update-release-infrastructure	10,11	# - AI-dependent tests (skip without LLAMA_MONITOR_HAS_AI=1)
.github/workflows/ci.yml	216	llama_monitor	infrastructure-only	update-release-infrastructure	10,11	LLAMA_MONITOR_UI_URL: http://127.0.0.1:7778
.github/workflows/ci.yml	222	llama-monitor	infrastructure-only	update-release-infrastructure	10,11	if [ -f "$RUNNER_TEMP/llama-monitor-ui.pid" ]; then
.github/workflows/ci.yml	223	llama-monitor	infrastructure-only	update-release-infrastructure	10,11	kill "$(cat "$RUNNER_TEMP/llama-monitor-ui.pid")" || true
.github/workflows/ci.yml	249	llama-monitor	infrastructure-only	update-release-infrastructure	10,11	runs-on: arc-llama-monitor
.github/workflows/ci.yml	261	llama-monitor	infrastructure-only	update-release-infrastructure	10,11	shared-key: "llama-monitor-${{ matrix.target }}-${{ hashFiles('Cargo.lock') }}"
.github/workflows/ci.yml	286	llama-monitor	infrastructure-only	update-release-infrastructure	10,11	runs-on: arc-llama-monitor-fast
.github/workflows/ci.yml	300	llama-monitor	infrastructure-only	update-release-infrastructure	10,11	shared-key: "llama-monitor-x86_64-pc-windows-gnu-${{ hashFiles('Cargo.lock') }}"
.github/workflows/ci.yml	330	llama-monitor	infrastructure-only	update-release-infrastructure	10,11	runs-on: arc-llama-monitor
.github/workflows/ci.yml	343	llama-monitor	infrastructure-only	update-release-infrastructure	10,11	shared-key: "llama-monitor-${{ matrix.target }}-${{ hashFiles('Cargo.lock') }}"
.github/workflows/release-please.yml	18	llama-monitor	infrastructure-only	update-release-infrastructure	10,11	runs-on: arc-llama-monitor
.github/workflows/release.yml	27	llama-monitor	infrastructure-only	update-release-infrastructure	10,11	runs-on: arc-llama-monitor
.github/workflows/release.yml	33	llama-monitor	infrastructure-only	update-release-infrastructure	10,11	artifact: llama-monitor-linux-x86_64
