asset	kind	current_role	classification	owner_phase	policy
assets/brand/exports/linux/hicolor/128x128/apps/local-llm-foundry.png	png	functional or legacy UI mark	unrelated-functional-mark-or-legacy-mark	1,7	review during frontend identity pass; preserve functional icons
assets/brand/exports/linux/hicolor/16x16/apps/local-llm-foundry.png	png	functional or legacy UI mark	unrelated-functional-mark-or-legacy-mark	1,7	review during frontend identity pass; preserve functional icons
assets/brand/exports/linux/hicolor/256x256/apps/local-llm-foundry.png	png	functional or legacy UI mark	unrelated-functional-mark-or-legacy-mark	1,7	review during frontend identity pass; preserve functional icons
assets/brand/exports/linux/hicolor/32x32/apps/local-llm-foundry.png	png	functional or legacy UI mark	unrelated-functional-mark-or-legacy-mark	1,7	review during frontend identity pass; preserve functional icons
assets/brand/exports/linux/hicolor/512x512/apps/local-llm-foundry.png	png	functional or legacy UI mark	unrelated-functional-mark-or-legacy-mark	1,7	review during frontend identity pass; preserve functional icons
assets/brand/exports/linux/hicolor/64x64/apps/local-llm-foundry.png	png	functional or legacy UI mark	unrelated-functional-mark-or-legacy-mark	1,7	review during frontend identity pass; preserve functional icons
assets/brand/exports/social/token-ingot-1200x630.png	png	selected brand mark	approved-token-ingot	1	deterministic SVG; derivative proofs required
assets/brand/exports/token-ingot.ico	ico	selected brand mark	approved-token-ingot	1	deterministic SVG; derivative proofs required
assets/brand/exports/tray/linux/token-ingot-1024.png	png	selected brand mark	approved-token-ingot	1	deterministic SVG; derivative proofs required
assets/brand/exports/tray/linux/token-ingot-128.png	png	selected brand mark	approved-token-ingot	1	deterministic SVG; derivative proofs required
assets/brand/exports/tray/linux/token-ingot-16.png	png	selected brand mark	approved-token-ingot	1	deterministic SVG; derivative proofs required
assets/brand/exports/tray/linux/token-ingot-180.png	png	selected brand mark	approved-token-ingot	1	deterministic SVG; derivative proofs required
assets/brand/exports/tray/linux/token-ingot-192.png	png	selected brand mark	approved-token-ingot	1	deterministic SVG; derivative proofs required
assets/brand/exports/tray/linux/token-ingot-20.png	png	selected brand mark	approved-token-ingot	1	deterministic SVG; derivative proofs required
assets/brand/exports/tray/linux/token-ingot-22.png	png	selected brand mark	approved-token-ingot	1	deterministic SVG; derivative proofs required
assets/brand/exports/tray/linux/token-ingot-24.png	png	selected brand mark	approved-token-ingot	1	deterministic SVG; derivative proofs required
assets/brand/exports/tray/linux/token-ingot-256.png	png	selected brand mark	approved-token-ingot	1	deterministic SVG; derivative proofs required
