# Reviewed Phase 2 legacy literal allowlist; generated from current source and reviewed by owning policy.
file	line	token	classification	policy	owner_phase	matched_text
.github/codeql/codeql-config.yml	12	llama-monitor	tooling-or-infrastructure	update in release/tooling phase	11	# ~/.config/llama-monitor/, not from runtime user input.
docs/reference/api.md	1773	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	Creates a manual backup in `~/.config/llama-monitor/backups/chat_<timestamp>.db`.
docs/reference/api.md	2816	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	{ "dir": "/Users/nick/.config/llama-monitor/models" }
docs/reference/chat.md	657	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	- **Primary store** — `~/.config/llama-monitor/chat.db`
docs/reference/chat.md	659	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	- **Legacy migration** — If `~/.config/llama-monitor/chat-tabs.json` exists at startup, the app imports it into `chat.db` and renames the old file to `chat-tabs.json.bak`
docs/reference/cli-flags.md	139	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	llama-monitor --presets-file ~/.config/llama-monitor/presets-custom.json
docs/reference/cli-flags.md	139	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	llama-monitor --presets-file ~/.config/llama-monitor/presets-custom.json
docs/reference/cli-flags.md	147	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	llama-monitor --sessions-file ~/.config/llama-monitor/sessions-custom.json
docs/reference/cli-flags.md	147	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	llama-monitor --sessions-file ~/.config/llama-monitor/sessions-custom.json
docs/reference/community-picks.md	9	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	- ~/.config/llama-monitor/community-picks.json
docs/reference/community-picks.md	57	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	- Writes the resulting JSON to ~/.config/llama-monitor/community-picks.json
docs/reference/hermes-community-picks-cron.md	12	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	structured JSON file to `~/.config/llama-monitor/community-picks.json`. The
docs/reference/identity-contract.json	27	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	"legacy_unix_macos": "~/.config/llama-monitor",
docs/reference/identity-contract.json	28	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	"legacy_windows": "%APPDATA%\\llama-monitor"
docs/reference/inference-tuning.md	382	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	(macOS: `~/.config/llama-monitor/bin/llama-bench`; on Windows/Linux it's beside the
docs/reference/model-library.md	5	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	using `~/.config/llama-monitor/models/` until the user explicitly migrates. The
docs/reference/model-runtime-benchmarking.md	12	llama-monitor	legitimate-backend-term	preserve technical identifier	preserve	--llama-cpp-model /Users/nick/.config/llama-monitor/models/gguf/Qwen3.5-9B-The-Defiant-Fable-Uncnr-Heretic-NEO-MAX-MTP-Q4_K_M.gguf \
docs/reference/model-runtime-benchmarking.md	326	llama-monitor	legitimate-backend-term	preserve technical identifier	preserve	--model /Users/nick/.config/llama-monitor/models/gguf/Qwen3.5-9B-The-Defiant-Fable-Uncnr-Heretic-NEO-MAX-MTP-Q4_K_M.gguf \
docs/reference/quick-start.md	12	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	`~/.config/llama-monitor`. All API endpoints (including local ones) require this token
docs/reference/quick-start.md	125	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	- Config directory: most settings and files live under `~/.config/llama-monitor`:
docs/reference/rapid-mlx-mtp-evidence.md	477	llama-monitor	legitimate-backend-term	preserve technical identifier	preserve	| `~/.config/llama-monitor/models/mlx/native/nightmedia-27b-mxfp8-mlx` | The MXFP8 trunk, 27 GB of real files. Moved here from `/Users/nick/mlx-models/` on 2026-07-30. Its two in-dir heads (`model-mtp.safetensors` and `model-mtp.safetensors
docs/reference/rapid-mlx-mtp-evidence.md	479	llama-monitor	legitimate-backend-term	preserve technical identifier	preserve	| `~/.config/llama-monitor/models/rapid-mlx/mtp-sidecars/.quarantine-in-trunk-sidecars/` | The four quarantined heads (1.9 GB) plus the README explaining each. Moved out of `~/mlx-models/` on 2026-07-30 when that directory was deleted. Kept
docs/reference/rapid-mlx-mtp-evidence.md	604	llama-monitor	legitimate-backend-term	preserve technical identifier	preserve	--mlx-model ~/.config/llama-monitor/models/mlx/native/nightmedia-27b-mxfp8-mlx
docs/reference/rapid-mlx-mtp-evidence.md	609	llama-monitor	legitimate-backend-term	preserve technical identifier	preserve	defaults to `~/.config/llama-monitor/models/rapid-mlx/mtp-sidecars/<trunk-slug>/mtp.safetensors`
docs/reference/rapid-mlx-mtp-evidence.md	674	llama-monitor	legitimate-backend-term	preserve technical identifier	preserve	| Trunk | `~/.config/llama-monitor/models/mlx/native/nightmedia-27b-mxfp8-mlx` | 27 GB, real files |
docs/reference/rapid-mlx-mtp-evidence.md	676	llama-monitor	legitimate-backend-term	preserve technical identifier	preserve	| Validated subject head | `~/.config/llama-monitor/models/rapid-mlx/mtp-sidecars/qwen3.6-27b-nightmedia-f451-tess-8bit/` | 478 MB + `provenance.json` |
docs/reference/rapid-mlx-mtp-evidence.md	677	llama-monitor	legitimate-backend-term	preserve technical identifier	preserve	| Quarantined heads | `~/.config/llama-monitor/models/rapid-mlx/mtp-sidecars/.quarantine-in-trunk-sidecars/` | Pulled out of trunks; mostly stale-extractor output. Kept as negative-control fixtures. See its README |
docs/reference/rapid-mlx-mtp-evidence.md	679	llama-monitor	legitimate-backend-term	preserve technical identifier	preserve	All three lane artifacts live under `~/.config/llama-monitor/models/` as of 2026-07-30, so
docs/reference/remote-agent.md	138	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	- File: ~/.config/llama-monitor/agent-tokens.json
docs/reference/remote-agent.md	289	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	Credentials used by the remote agent and internal APIs are encrypted at rest using AES-256-GCM and stored in `~/.config/llama-monitor/`.
docs/reference/remote-agent.md	319	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	- Treat `~/.config/llama-monitor/` as sensitive.
docs/reference/setup-wizard.md	555	llama-monitor	legitimate-backend-term	preserve technical identifier	preserve	{ "ok": true, "download_id": "md-1234567890-abc12345", "local_path": "/Users/you/.config/llama-monitor/models/Qwen3-30B-A3B-Q4_K_M.gguf" }
docs/reference/setup-wizard.md	588	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	{ "ok": true, "dir": "/Users/you/.config/llama-monitor/models", "configured": false }
docs/reference/setup-wizard.md	617	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	Set or update the HF token: `{ "token": "hf_xxxx..." }`. Requires `api-token`. Written to `~/.config/llama-monitor/hf-token` with mode 600.
docs/reference/setup-wizard.md	713	llama-monitor	legitimate-backend-term	preserve technical identifier	preserve	Legacy endpoint. Runs `llama-server --print-model-metadata` on a local GGUF file and returns parsed architecture fields. Results are cached in `~/.config/llama-monitor/model-cache/<sha256>.json`.
docs/reference/setup-wizard.md	814	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	(e.g. `~/.config/llama-monitor/chat-templates/`).
docs/reference/setup-wizard.md	899	llama-monitor	legitimate-backend-term	preserve technical identifier	preserve	{ "ok": true, "version": "b5678", "backend": "metal", "arch": "aarch64", "path": "/Users/you/.config/llama-monitor/bin/llama-server" }
docs/reference/setup-wizard.md	903	llama-monitor	legitimate-backend-term	preserve technical identifier	preserve	- Copies the full release archive (not just `llama-server`) to `~/.config/llama-monitor/bin/` — CUDA/Vulkan/SYCL builds require their shared libraries to be co-located
docs/reference/setup-wizard.md	905	llama-monitor	legitimate-backend-term	preserve technical identifier	preserve	- Default install path: `~/.config/llama-monitor/bin/llama-server` (configurable in Settings)
docs/reference/tls-architecture.md	31	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	- ~/.config/llama-monitor/tls-config.json
docs/reference/tls-architecture.md	113	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	- Certificate and key are stored under ~/.config/llama-monitor/.
docs/reference/tls-architecture.md	165	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	- ~/.config/llama-monitor/acme-data
docs/reference/vram-estimator.md	861	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	- **Introspection cache**: results are cached in `~/.config/llama-monitor/model-cache/<sha256>.json`, keyed by file path + size + mtime.
docs/reference/windows-support.md	67	llama-monitor	documentation-reference	rewrite current docs in owning docs phase	14	| Windows  | `%APPDATA%\local-llm-foundry` (legacy `%APPDATA%\llama-monitor` remains active until explicit migration) |
scripts/validate-phase2-path-authority.mjs	36	llama-monitor	tooling-or-infrastructure	update in release/tooling phase	11	return /(?:\.config[\\/]llama-monitor|join\(["']llama-monitor|default_active_root|certs_dir\(|dirs::config_dir|appdata|localappdata|\bhome\b.*(?:models|runtimes|chat-templates|agent\.log)|(?:models|runtimes|chat-templates).*\.config)/i.test
